Tipo,Denominação,"Código Postal",Descritivo
LOJA,"CTT CALDAS DAS TAIPAS",4806-909,"CALDAS DAS TAIPAS"
LOJA,"CTT URGEZES (GUIMARÃES)",4811-909,GUIMARÃES
LOJA,"CTT VIZELA",4816-901,VIZELA
PC,"MOREIRA DE CÓNEGOS",4816-907,"MOREIRA DE CÓNEGOS"
PC,"LORDELO (GUIMARÃES)",4816-908,"LORDELO GMR"
LOJA,"CTT FAFE",4821-909,FAFE
LOJA,"CTT FAFE",4821-952,FAFE
PC,"PORTO DE AVE",4831-908,TAÍDE
LOJA,"CTT PÓVOA DE LANHOSO",4831-909,"PÓVOA DE LANHOSO"
LOJA,"CTT LAMEIRAS (GUIMARÃES)",4836-908,GUIMARÃES
LOJA,"CTT PEVIDÉM",4836-909,GUIMARÃES
PC,BOURO,4841-909,"TERRAS DE BOURO"
LOJA,"CTT VIEIRA DO MINHO",4851-909,"VIEIRA DO MINHO"
PC,CAVEZ,4861-701,CAVEZ
PC,"ARCO DE BAÚLHE",4861-801,"ARCO DE BAÚLHE"
LOJA,"CTT CABECEIRAS DE BASTO",4861-909,"CABECEIRAS DE BASTO"
PC,CERVA,4871-801,CERVA
LOJA,"CTT RIBEIRA DE PENA",4871-909,"RIBEIRA DE PENA"
PC,GANDARELA,4891-908,"BASTO (SÃO CLEMENTE)"
LOJA,"CTT CELORICO DE BASTO",4891-909,"CELORICO DE BASTO"
LOJA,"CTT ALTO MINHO",4901-851,"VIANA DO CASTELO"
LOJA,"CTT ALTO MINHO",4901-852,"VIANA DO CASTELO"
LOJA,"CTT ALTO MINHO",4901-853,"VIANA DO CASTELO"
LOJA,"CTT ALTO MINHO",4901-908,"VIANA DO CASTELO"
LOJA,"CTT VIANA DO CASTELO",4901-909,"VIANA DO CASTELO"
LOJA,"CTT VIANA DO CASTELO",4901-910,"VIANA DO CASTELO"
LOJA,"CTT VIANA DO CASTELO",4901-911,"VIANA DO CASTELO"
LOJA,"CTT VIANA DO CASTELO",4901-912,"VIANA DO CASTELO"
LOJA,"CTT BARROSELAS",4906-909,MUJÃES
LOJA,"CTT CAMINHA",4911-909,CAMINHA
LOJA,"CTT VILA NOVA DE CERVEIRA",4921-909,"VILA NOVA DE CERVEIRA"
PC,LANHESES,4926-909,LANHESES
PC,"SÃO PEDRO DA TORRE",4931-908,"SÃO PEDRO DA TORRE"
LOJA,"CTT VALENÇA",4931-909,VALENÇA
PC,"VILA NOVA DE ANHA",4936-908,"VILA NOVA DE ANHA"
PC,DARQUE,4936-909,"VIANA DO CASTELO"
LOJA,"CTT PAREDES DE COURA",4941-909,"PAREDES DE COURA"
PC,TANGIL,4951-701,TANGIL
LOJA,"CTT MONÇÃO",4951-909,MONÇÃO
LOJA,"CTT MELGAÇO",4961-909,MELGAÇO
LOJA,"CTT ARCOS DE VALDEVEZ",4971-909,"ARCOS DE VALDEVEZ"
LOJA,"CTT PONTE DA BARCA",4981-909,"PONTE DA BARCA"
LOJA,"CTT PONTE DE LIMA",4991-909,"PONTE DE LIMA"
LOJA,"CTT VILA REAL",5001-909,"VILA REAL"
LOJA,"CTT VILA REAL",5001-910,"VILA REAL"
LOJA,"CTT VILA REAL",5001-911,"VILA REAL"
LOJA,"CTT VILA REAL",5001-912,"VILA REAL"
LOJA,"CTT SANTA MARTA DE PENAGUIÃO",5031-909,"SANTA MARTA DE PENAGUIÃO"
LOJA,"CTT MESÃO FRIO",5041-909,"MESÃO FRIO"
LOJA,"CTT PESO DA RÉGUA",5051-909,"PESO DA RÉGUA"
LOJA,"CTT SABROSA",5061-909,SABROSA
LOJA,"CTT ALIJÓ",5071-909,ALIJÓ
PC,PINHÃO,5086-909,PINHÃO
LOJA,"CTT MURÇA",5091-909,MURÇA
LOJA,"CTT LAMEGO",5101-909,LAMEGO
LOJA,"CTT ARMAMAR",5111-909,ARMAMAR
LOJA,"CTT TABUAÇO",5121-909,TABUAÇO
LOJA,"CTT S JOÃO DA PESQUEIRA",5131-909,"SÃO JOÃO DA PESQUEIRA"
LOJA,"CTT CARRAZEDA DE ANSIÃES",5141-909,"CARRAZEDA DE ANSIÃES"
LOJA,"CTT VILA NOVA DE FOZ CÔA",5151-909,"VILA NOVA DE FOZ CÔA"
LOJA,"CTT TORRE DE MONCORVO",5161-909,"TORRE DE MONCORVO"
LOJA,"CTT FREIXO DE ESPADA À CINTA",5181-909,"FREIXO DE ESPADA À CINTA"
LOJA,"CTT MOGADOURO",5201-909,MOGADOURO
LOJA,"CTT MIRANDA DO DOURO",5211-909,"MIRANDA DO DOURO"
PC,SENDIM,5226-909,SENDIM
LOJA,"CTT VIMIOSO",5231-909,VIMIOSO
LOJA,"CTT BRAGANÇA",5301-901,BRAGANÇA
LOJA,"CTT BRAGANÇA",5301-902,BRAGANÇA
LOJA,"CTT BRAGANÇA",5301-903,BRAGANÇA
LOJA,"CTT CANTARIAS (BRAGANÇA)",5301-907,BRAGANÇA
LOJA,"CTT BRAGANÇA",5301-951,BRAGANÇA
LOJA,"CTT BRAGANÇA",5301-952,BRAGANÇA
LOJA,"CTT BRAGANÇA",5301-953,BRAGANÇA
LOJA,"CTT BRAGANÇA",5301-954,BRAGANÇA
LOJA,"CTT BRAGANÇA",5301-955,BRAGANÇA
LOJA,"CTT BRAGANÇA",5301-956,BRAGANÇA
LOJA,"CTT BRAGANÇA",5301-957,BRAGANÇA
LOJA,"CTT BRAGANÇA",5301-958,BRAGANÇA
LOJA,"CTT BRAGANÇA",5301-959,BRAGANÇA
LOJA,"CTT VINHAIS",5321-909,VINHAIS
LOJA,"CTT MACEDO DE CAVALEIROS",5341-909,"MACEDO DE CAVALEIROS"
